PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
892,0,3,1,35,0,0,7.83,1
893,1,3,2,47,1,0,7.00,3
894,0,2,1,62,0,0,9.69,1
895,0,3,1,27,0,0,8.66,3
896,1,3,2,22,1,1,12.29,3
897,0,3,1,14,0,0,9.23,3
898,1,3,2,30,0,0,7.63,1
899,0,2,1,26,1,1,29.00,3
900,1,3,2,18,0,0,7.23,2
901,0,3,1,21,2,0,24.15,3
902,0,3,1,14,0,0,7.90,3
903,0,1,1,46,0,0,26.00,3
904,1,1,2,23,1,0,82.27,3
905,0,2,1,63,1,0,26.00,3
906,1,1,2,47,1,0,61.18,3
907,1,2,2,24,1,0,27.72,2
908,0,2,1,35,0,0,12.35,1
909,0,3,1,21,0,0,7.23,2
910,1,3,2,27,1,0,7.93,3
911,1,3,2,45,0,0,7.23,2
912,0,1,1,55,1,0,59.40,2
913,0,3,1,9,0,1,3.17,3
914,1,1,2,63,0,0,31.68,3
915,0,1,1,21,0,1,61.38,2
916,1,1,2,48,1,3,262.38,2
917,0,3,1,50,1,0,14.50,3
918,1,1,2,22,0,1,61.98,2
919,0,3,1,23,0,0,7.23,2
920,0,1,1,41,0,0,30.50,3
921,0,3,1,53,2,0,21.68,2
922,0,2,1,50,1,0,26.00,3
923,0,2,1,24,2,0,31.50,3
924,1,3,2,33,1,2,20.58,3
925,1,3,2,43,1,2,23.45,3
926,0,1,1,30,1,0,57.75,2
927,0,3,1,19,0,0,7.23,2
928,1,3,2,33,0,0,8.05,3
929,1,3,2,21,0,0,8.66,3
930,0,3,1,25,0,0,9.50,3
931,0,3,1,23,0,0,56.50,3
932,0,3,1,39,0,1,13.42,2
933,0,1,1,13,0,0,26.55,3
934,0,3,1,41,0,0,7.85,3
935,1,2,2,30,0,0,13.00,3
936,1,1,2,45,1,0,52.55,3
937,0,3,1,25,0,0,7.93,3
938,0,1,1,45,0,0,29.70,2
939,0,3,1,62,0,0,7.75,1
940,1,1,2,60,0,0,76.29,2
941,1,3,2,36,0,2,15.90,3
942,0,1,1,24,1,0,60.00,3
943,0,2,1,27,0,0,15.03,2
944,1,2,2,20,2,1,23.00,3
945,1,1,2,28,3,2,263.00,3
946,0,2,1,52,0,0,15.58,2
947,0,3,1,10,4,1,29.13,1
948,0,3,1,35,0,0,7.90,3
949,0,3,1,25,0,0,7.65,3
950,0,3,1,42,1,0,16.10,3
951,1,1,2,36,0,0,262.38,2
952,0,3,1,17,0,0,7.90,3
953,0,2,1,32,0,0,13.50,3
954,0,3,1,18,0,0,7.75,3
955,1,3,2,22,0,0,7.73,1
956,0,1,1,13,2,2,262.38,2
957,1,2,2,32,0,0,21.00,3
958,1,3,2,18,0,0,7.88,1
959,0,1,1,47,0,0,42.40,3
960,0,1,1,31,0,0,28.54,2
961,1,1,2,60,1,4,263.00,3
962,1,3,2,24,0,0,7.75,1
963,0,3,1,21,0,0,7.90,3
964,1,3,2,29,0,0,7.93,3
965,0,1,1,29,0,0,27.72,2
966,1,1,2,35,0,0,211.50,2
967,0,1,1,33,0,0,211.50,2
968,0,3,1,32,0,0,8.05,3
969,1,1,2,55,2,0,25.70,3
970,0,2,1,30,0,0,13.00,3
971,1,3,2,24,0,0,7.75,1
972,0,3,1,6,1,1,15.25,2
973,0,1,1,67,1,0,221.78,3
974,0,1,1,49,0,0,26.00,3
975,0,3,1,22,0,0,7.90,3
976,0,2,1,12,0,0,10.71,1
977,0,3,1,61,1,0,14.45,2
978,1,3,2,27,0,0,7.88,1
979,1,3,2,18,0,0,8.05,3
980,1,3,2,51,0,0,7.75,1
981,0,2,1,2,1,1,23.00,3
982,1,3,2,22,1,0,13.90,3
983,0,3,1,41,0,0,7.78,3
984,1,1,2,27,1,2,52.00,3
985,0,3,1,31,0,0,8.05,3
986,0,1,1,25,0,0,26.00,2
987,0,3,1,25,0,0,7.80,3
988,1,1,2,76,1,0,78.85,3
989,0,3,1,29,0,0,7.93,3
990,1,3,2,20,0,0,7.85,3
991,0,3,1,33,0,0,8.05,3
992,1,1,2,43,1,0,55.44,2
993,0,2,1,27,1,0,26.00,3
994,0,3,1,11,0,0,7.75,1
995,0,3,1,26,0,0,7.78,3
996,1,3,2,16,1,1,8.52,2
997,0,3,1,28,0,0,22.53,3
998,0,3,1,21,0,0,7.82,1
999,0,3,1,21,0,0,7.75,1
1000,0,3,1,65,0,0,8.71,3
1001,0,2,1,19,0,0,13.00,3
1002,0,2,1,41,0,0,15.05,2
1003,1,3,2,55,0,0,7.78,1
1004,1,1,2,36,0,0,31.68,2
1005,1,3,2,19,0,0,7.28,1
1006,1,1,2,63,1,0,221.78,3
1007,0,3,1,18,1,0,14.45,2
1008,0,3,1,45,0,0,6.44,2
1009,1,3,2,1,1,1,16.70,3
1010,0,1,1,36,0,0,75.24,2
1011,1,2,2,29,1,0,26.00,3
1012,1,2,2,12,0,0,15.75,3
1013,0,3,1,35,1,0,7.75,1
1014,1,1,2,35,1,0,57.75,2
1015,0,3,1,28,0,0,7.25,3
1016,0,3,1,25,0,0,7.75,1
1017,1,3,2,17,0,1,16.10,3
1018,0,3,1,22,0,0,7.80,3
1019,1,3,2,10,2,0,23.25,1
1020,0,2,1,42,0,0,13.00,3
1021,0,3,1,24,0,0,8.05,3
1022,0,3,1,32,0,0,8.05,3
1023,0,1,1,53,0,0,28.50,2
1024,1,3,2,15,0,4,25.47,3
1025,0,3,1,60,1,0,6.44,2
1026,0,3,1,43,0,0,7.90,3
1027,0,3,1,24,0,0,7.85,3
1028,0,3,1,27,0,0,7.23,2
1029,0,2,1,26,0,0,13.00,3
1030,1,3,2,23,0,0,8.05,3
1031,0,3,1,40,1,6,46.90,3
1032,1,3,2,10,5,2,46.90,3
1033,1,1,2,33,0,0,151.55,3
1034,0,1,1,61,1,3,262.38,2
1035,0,2,1,28,0,0,26.00,3
1036,0,1,1,42,0,0,26.55,3
1037,0,3,1,31,3,0,18.00,3
1038,0,1,1,50,0,0,51.86,3
1039,0,3,1,22,0,0,8.05,3
1040,0,1,1,40,0,0,26.55,3
1041,0,2,1,30,1,1,26.00,3
1042,1,1,2,23,0,1,83.16,2
1043,0,3,1,30,0,0,7.90,2
1044,0,3,1,61,0,0,,3
1045,1,3,2,36,0,2,12.18,3
1046,0,3,1,13,4,2,31.39,3
1047,0,3,1,24,0,0,7.55,3
1048,1,1,2,29,0,0,221.78,3
1049,1,3,2,23,0,0,7.85,3
1050,0,1,1,42,0,0,26.55,3
1051,1,3,2,26,0,2,13.78,3
1052,1,3,2,20,0,0,7.73,1
1053,0,3,1,7,1,1,15.25,2
1054,1,2,2,26,0,0,13.50,3
1055,0,3,1,49,0,0,7.00,3
1056,0,2,1,41,0,0,13.00,3
1057,1,3,2,26,1,1,22.03,3
1058,0,1,1,48,0,0,50.50,2
1059,0,3,1,18,2,2,34.38,3
1060,1,1,2,1,0,0,27.72,2
1061,1,3,2,22,0,0,8.96,3
1062,0,3,1,48,0,0,7.55,3
1063,0,3,1,27,0,0,7.23,2
1064,0,3,1,23,1,0,13.90,3
1065,0,3,1,47,0,0,7.23,2
1066,0,3,1,40,1,5,31.39,3
1067,1,2,2,15,0,2,39.00,3
1068,1,2,2,20,0,0,36.75,3
1069,0,1,1,54,1,0,55.44,2
1070,1,2,2,36,0,3,39.00,3
1071,1,1,2,64,0,2,83.16,2
1072,0,2,1,30,0,0,13.00,3
1073,0,1,1,37,1,1,83.16,2
1074,1,1,2,18,1,0,53.10,3
1075,0,3,1,46,0,0,7.75,1
1076,1,1,2,27,1,1,247.52,2
1077,0,2,1,40,0,0,16.00,3
1078,1,2,2,21,0,1,21.00,3
1079,0,3,1,17,2,0,8.05,3
1080,1,3,2,58,8,2,69.55,3
1081,0,2,1,40,0,0,13.00,3
1082,0,2,1,34,1,0,26.00,3
1083,0,1,1,57,0,0,26.00,3
1084,0,3,1,12,1,1,14.50,3
1085,0,2,1,61,0,0,12.35,1
1086,0,2,1,8,0,2,32.50,3
1087,0,3,1,33,0,0,7.85,3
1088,0,1,1,6,0,2,134.50,2
1089,1,3,2,18,0,0,7.78,3
1090,0,2,1,23,0,0,10.50,3
1091,1,3,2,56,0,0,8.11,3
1092,1,3,2,55,0,0,15.50,1
1093,0,3,1,1,0,2,14.40,3
1094,0,1,1,47,1,0,227.53,2
1095,1,2,2,8,1,1,26.00,3
1096,0,2,1,25,0,0,10.50,3
1097,0,1,1,53,0,0,25.74,2
1098,1,3,2,35,0,0,7.75,1
1099,0,2,1,24,0,0,10.50,3
1100,1,1,2,33,0,0,27.72,2
1101,0,3,1,25,0,0,7.90,3
1102,0,3,1,32,0,0,22.53,3
1103,0,3,1,52,0,0,7.05,3
1104,0,2,1,17,0,0,73.50,3
1105,1,2,2,60,1,0,26.00,3
1106,1,3,2,38,4,2,7.78,3
1107,0,1,1,42,0,0,42.50,3
1108,1,3,2,50,0,0,7.88,1
1109,0,1,1,57,1,1,164.87,3
1110,1,1,2,50,1,1,211.50,2
1111,0,3,1,51,0,0,8.05,3
1112,1,2,2,30,1,0,13.86,2
1113,0,3,1,21,0,0,8.05,3
1114,1,2,2,22,0,0,10.50,3
1115,0,3,1,21,0,0,7.80,3
1116,1,1,2,53,0,0,27.45,2
1117,1,3,2,36,0,2,15.25,2
1118,0,3,1,23,0,0,7.80,3
1119,1,3,2,35,0,0,7.75,1
1120,0,3,1,41,0,0,15.10,3
1121,0,2,1,36,0,0,13.00,3
1122,0,2,1,14,0,0,65.00,3
1123,1,1,2,21,0,0,26.55,3
1124,0,3,1,21,1,0,6.50,3
1125,0,3,1,46,0,0,7.88,1
1126,0,1,1,39,1,0,71.28,2
1127,0,3,1,20,0,0,7.85,3
1128,0,1,1,64,1,0,75.25,2
1129,0,3,1,20,0,0,7.23,2
1130,1,2,2,18,1,1,13.00,3
1131,1,1,2,48,1,0,106.43,2
1132,1,1,2,55,0,0,27.72,2
1133,1,2,2,45,0,2,30.00,3
1134,0,1,1,45,1,1,134.50,2
1135,0,3,1,45,0,0,7.89,3
1136,0,3,1,44,1,2,23.45,3
1137,0,1,1,41,1,0,51.86,3
1138,1,2,2,22,0,0,21.00,3
1139,0,2,1,42,1,1,32.50,3
1140,1,2,2,29,1,0,26.00,3
1141,1,3,2,1,1,0,14.45,2
1142,1,2,2,1,1,2,27.75,3
1143,0,3,1,20,0,0,7.93,3
1144,0,1,1,27,1,0,136.78,2
1145,0,3,1,24,0,0,9.33,3
1146,0,3,1,33,0,0,9.50,3
1147,0,3,1,42,0,0,7.55,3
1148,0,3,1,41,0,0,7.75,1
1149,0,3,1,28,0,0,8.05,3
1150,1,2,2,19,0,0,13.00,3
1151,0,3,1,21,0,0,7.78,3
1152,0,3,1,37,1,0,17.40,3
1153,0,3,1,21,0,0,7.85,3
1154,1,2,2,29,0,2,23.00,3
1155,1,3,2,1,1,1,12.18,3
1156,0,2,1,30,0,0,12.74,2
1157,0,3,1,27,0,0,7.90,3
1158,0,1,1,26,0,0,0.00,3
1159,0,3,1,32,0,0,7.55,3
1160,1,3,2,31,0,0,8.05,3
1161,0,3,1,17,0,0,8.66,3
1162,0,1,1,46,0,0,75.24,2
1163,0,3,1,30,0,0,7.75,1
1164,1,1,2,26,1,0,136.78,2
1165,1,3,2,20,1,0,15.50,1
1166,0,3,1,21,0,0,7.23,2
1167,1,2,2,20,1,0,26.00,3
1168,0,2,1,28,0,0,10.50,3
1169,0,2,1,40,1,0,26.00,3
1170,0,2,1,30,1,0,21.00,3
1171,0,2,1,22,0,0,10.50,3
1172,1,3,2,23,0,0,8.66,3
1173,0,3,1,1,1,1,13.78,3
1174,1,3,2,3,0,0,7.75,1
1175,1,3,2,9,1,1,15.25,2
1176,1,3,2,2,1,1,20.21,3
1177,0,3,1,36,0,0,7.25,3
1178,0,3,1,22,0,0,7.25,3
1179,0,1,1,24,1,0,82.27,3
1180,0,3,1,38,0,0,7.23,2
1181,0,3,1,37,0,0,8.05,3
1182,0,1,1,65,0,0,39.60,3
1183,1,3,2,30,0,0,6.95,1
1184,0,3,1,29,0,0,7.23,2
1185,0,1,1,53,1,1,81.86,3
1186,0,3,1,36,0,0,9.50,3
1187,0,3,1,26,0,0,7.90,3
1188,1,2,2,1,1,2,41.58,2
1189,0,3,1,2,2,0,21.68,2
1190,0,1,1,30,0,0,45.50,3
1191,0,3,1,29,0,0,7.85,3
1192,0,3,1,32,0,0,7.78,3
1193,0,2,1,12,0,0,15.05,2
1194,0,2,1,43,0,1,21.00,3
1195,0,3,1,24,0,0,8.66,3
1196,1,3,2,5,0,0,7.75,1
1197,1,1,2,64,1,1,26.55,3
1198,0,1,1,30,1,2,151.55,3
1199,0,3,1,1,0,1,9.35,3
1200,0,1,1,55,1,1,93.50,3
1201,1,3,2,45,1,0,14.11,3
1202,0,3,1,18,0,0,8.66,3
1203,0,3,1,22,0,0,7.23,2
1204,0,3,1,36,0,0,7.58,3
1205,1,3,2,37,0,0,7.75,1
1206,1,1,2,55,0,0,135.63,2
1207,1,3,2,17,0,0,7.73,1
1208,0,1,1,57,1,0,146.52,2
1209,0,2,1,19,0,0,10.50,3
1210,0,3,1,27,0,0,7.85,3
1211,0,2,1,22,2,0,31.50,3
1212,0,3,1,26,0,0,7.78,3
1213,0,3,1,25,0,0,7.23,2
1214,0,2,1,26,0,0,13.00,3
1215,0,1,1,33,0,0,26.55,3
1216,1,1,2,39,0,0,211.34,3
1217,0,3,1,23,0,0,7.05,3
1218,1,2,2,12,2,1,39.00,3
1219,0,1,1,46,0,0,79.20,2
1220,0,2,1,29,1,0,26.00,3
1221,0,2,1,21,0,0,13.00,3
1222,1,2,2,48,0,2,36.75,3
1223,0,1,1,39,0,0,29.70,2
1224,0,3,1,33,0,0,7.23,2
1225,1,3,2,19,1,1,15.74,2
1226,0,3,1,27,0,0,7.90,3
1227,0,1,1,30,0,0,26.00,3
1228,0,2,1,32,0,0,13.00,3
1229,0,3,1,39,0,2,7.23,2
1230,0,2,1,25,0,0,31.50,3
1231,0,3,1,71,0,0,7.23,2
1232,0,2,1,18,0,0,10.50,3
1233,0,3,1,32,0,0,7.58,3
1234,0,3,1,56,1,9,69.55,3
1235,1,1,2,58,0,1,512.33,2
1236,0,3,1,34,1,1,14.50,3
1237,1,3,2,16,0,0,7.65,3
1238,0,2,1,26,0,0,13.00,3
1239,1,3,2,38,0,0,7.23,2
1240,0,2,1,24,0,0,13.50,3
1241,1,2,2,31,0,0,21.00,3
1242,1,1,2,45,0,1,63.36,2
1243,0,2,1,25,0,0,10.50,3
1244,0,2,1,18,0,0,73.50,3
1245,0,2,1,49,1,2,65.00,3
1246,1,3,2,1,1,2,20.58,3
1247,0,1,1,50,0,0,26.00,3
1248,1,1,2,59,2,0,51.48,3
1249,0,3,1,45,0,0,7.88,3
1250,0,3,1,43,0,0,7.75,1
1251,1,3,2,30,1,0,15.55,3
1252,0,3,1,15,8,2,69.55,3
1253,1,2,2,24,1,1,37.00,2
1254,1,2,2,31,0,0,21.00,3
1255,0,3,1,27,0,0,8.66,3
1256,1,1,2,25,1,0,55.44,2
1257,1,3,2,13,1,9,69.55,3
1258,0,3,1,1,1,0,14.46,2
1259,1,3,2,22,0,0,39.69,3
1260,1,1,2,45,0,1,59.40,2
1261,0,2,1,29,0,0,13.86,2
1262,0,2,1,21,1,0,11.50,3
1263,1,1,2,31,0,0,134.50,2
1264,0,1,1,49,0,0,0.00,3
1265,0,2,1,44,0,0,13.00,3
1266,1,1,2,54,1,1,81.86,3
1267,1,1,2,45,0,0,262.38,2
1268,1,3,2,22,2,0,8.66,3
1269,0,2,1,21,0,0,11.50,3
1270,0,1,1,55,0,0,50.00,3
1271,0,3,1,5,4,2,31.39,3
1272,0,3,1,23,0,0,7.75,1
1273,0,3,1,26,0,0,7.88,1
1274,1,3,2,17,0,0,14.50,3
1275,1,3,2,19,1,0,16.10,3
1276,0,2,1,18,0,0,12.88,3
1277,1,2,2,24,1,2,65.00,3
1278,0,3,1,24,0,0,7.78,3
1279,0,2,1,57,0,0,13.00,3
1280,0,3,1,21,0,0,7.75,1
1281,0,3,1,6,3,1,21.08,3
1282,0,1,1,23,0,0,93.50,3
1283,1,1,2,51,0,1,39.40,3
1284,0,3,1,13,0,2,20.25,3
1285,0,2,1,47,0,0,10.50,3
1286,0,3,1,29,3,1,22.03,3
1287,1,1,2,18,1,0,60.00,3
1288,0,3,1,24,0,0,7.25,1
1289,1,1,2,48,1,1,79.20,2
1290,0,3,1,22,0,0,7.78,3
1291,0,3,1,31,0,0,7.73,1
1292,1,1,2,30,0,0,164.87,3
1293,0,2,1,38,1,0,21.00,3
1294,1,1,2,22,0,1,59.40,2
1295,0,1,1,17,0,0,47.10,3
1296,0,1,1,43,1,0,27.72,2
1297,0,2,1,20,0,0,13.86,2
1298,0,2,1,23,1,0,10.50,3
1299,0,1,1,50,1,1,211.50,2
1300,1,3,2,15,0,0,7.72,1
1301,1,3,2,3,1,1,13.78,3
1302,1,3,2,4,0,0,7.75,1
1303,1,1,2,37,1,0,90.00,1
1304,1,3,2,28,0,0,7.78,3
1305,0,3,1,56,0,0,8.05,3
1306,1,1,2,39,0,0,108.90,2
1307,0,3,1,38,0,0,7.25,3
1308,0,3,1,34,0,0,8.05,3
1309,0,3,1,23,1,1,22.36,2